Track Name,Hyperlink
Imola,https://automobilista-2.fandom.com/wiki/Imola_GP
Imola Historic 2001,https://automobilista-2.fandom.com/wiki/Imola_GP_2001
Imola Historic 1972,https://automobilista-2.fandom.com/wiki/Imola_GP_1972
Imola Historic 1988,https://automobilista-2.fandom.com/wiki/Imola_1988
Indianapolis Motor Speedway Oval,https://automobilista-2.fandom.com/wiki/Indianapolis_oval
Indianapolis Motor Speedway Road Course,https://automobilista-2.fandom.com/wiki/Indianapolis_road_course
Interlagos GP,https://automobilista-2.fandom.com/wiki/Interlagos_GP
Interlagos Kart One,https://automobilista-2.fandom.com/wiki/Interlagos_kart_11
Interlagos Kart Two,https://automobilista-2.fandom.com/wiki/Interlagos_Kart_2
Interlagos Kart Three,https://automobilista-2.fandom.com/wiki/Interlagos_Kart_3
Interlagos 1991,https://automobilista-2.fandom.com/wiki/Interlagos_1991
Interlagos 1993,https://automobilista-2.fandom.com/wiki/Interlagos_1993
Interlagos Historic 1976,https://automobilista-2.fandom.com/wiki/Interlagos_Historic
Interlagos Historic 1978 Outer,https://automobilista-2.fandom.com/wiki/Interlagos_Historic_outer
Interlagos Stock Car Brasil,https://automobilista-2.fandom.com/wiki/Interlagos_SCB
Jacarepaguá Historic 2005,https://automobilista-2.fandom.com/wiki/Jacarepahua_2005
Jacarepaguá Historic 2005 Oval,https://automobilista-2.fandom.com/wiki/Jacarepagua_oval
Jacarepaguá Historic 2012 SCB,https://automobilista-2.fandom.com/wiki/Jacarepagua_SCB
Jacarepaguá Historic 2012 Short,https://automobilista-2.fandom.com/wiki/Jacarepagua_short
Jacarepaguá Historic 1988,https://automobilista-2.fandom.com/wiki/Jacarepagua_historic
Jerez Historic 1988,https://automobilista-2.fandom.com/wiki/Jerez_1988
Jerez Moto,https://automobilista-2.fandom.com/wiki/Jerez_standard
Jerez Chicane,https://automobilista-2.fandom.com/wiki/Jerez_2019
Kansai Classic,https://automobilista-2.fandom.com/wiki/Kansai_historic
Kansai East,https://automobilista-2.fandom.com/wiki/Kansai_east
Kansai GP,https://automobilista-2.fandom.com/wiki/Kansai_GP
Kansai West,https://automobilista-2.fandom.com/wiki/Kansai_west
Kyalami,https://automobilista-2.fandom.com/wiki/Kyalami_2019
Kyalami Historic 1976,https://automobilista-2.fandom.com/wiki/Kyalami_historic
Laguna Seca 2020,https://automobilista-2.fandom.com/wiki/Laguna_Seca_2020
Le Mans 24h,https://automobilista-2.fandom.com/wiki/Le_Mans_24H
Le Mans Circuit Bugatti,https://automobilista-2.fandom.com/wiki/Le_Mans_Bugatti
Londrina Short,https://automobilista-2.fandom.com/wiki/Londrina_short
Londrina Kart One,https://automobilista-2.fandom.com/wiki/Londrina_kart_1
Londrina Kart Two,https://automobilista-2.fandom.com/wiki/Londrina_kart_2
LondrinaKart3,https://automobilista-2.fandom.com/wiki/Londrina_kart_3
Londrina Long,https://automobilista-2.fandom.com/wiki/Londrina_long
Long Beach,https://automobilista-2.fandom.com/wiki/Long_Beach
Long Beach STT,https://automobilista-2.fandom.com/wiki/Long_Beach_STT
Montréal Historic 1988,https://automobilista-2.fandom.com/wiki/Montreal_Historic
Montreal Historic 1991,https://automobilista-2.fandom.com/wiki/Montreal_1991
Montréal,https://automobilista-2.fandom.com/wiki/Montreal_GP
Monza Historic 1971,https://automobilista-2.fandom.com/wiki/Monza_1971
Monza Historic 1971 10k,https://automobilista-2.fandom.com/wiki/Monza_1971_10k
Monza Historic 1971 10k (no chicane),https://automobilista-2.fandom.com/wiki/Monza_1971_10k_no_chicane
Monza Historic 1971 Junior,https://automobilista-2.fandom.com/wiki/Monza_1971_junior
Monza Historic 1991,https://automobilista-2.fandom.com/wiki/Monza_1991
Monza,https://automobilista-2.fandom.com/wiki/Monza_2020
Monza Junior,https://automobilista-2.fandom.com/wiki/Monza_2020_junior
Monza STT,https://automobilista-2.fandom.com/wiki/Monza_STT
Nordschleife 2020,https://automobilista-2.fandom.com/wiki/N%C3%BCrburgring_Nordschleife_2020
Nordschleife 24 Hour 2020,https://automobilista-2.fandom.com/wiki/Nordschleife_2020_24H
Gesamtstrecke Historic 1971,https://automobilista-2.fandom.com/wiki/Nurburgring_1971_Gesamstrecke
Nordschleife Historic 1971,https://automobilista-2.fandom.com/wiki/Nordschleife_1971
Südscheleife Historic 1971,https://automobilista-2.fandom.com/wiki/S%C3%BCdschleife_1971
Betonschleife Historic 1971,https://automobilista-2.fandom.com/wiki/Betonschleife
Nürburgring RX,https://automobilista-2.fandom.com/wiki/Nurburgring_2020_RX
Nürburgring GP 2020,https://automobilista-2.fandom.com/wiki/Nurburgring_2020_GP
Nürburgring Sprint 2020,https://automobilista-2.fandom.com/wiki/Nurburgring_sprint
Nürburgring Sprint S 2020,https://automobilista-2.fandom.com/wiki/Nurburgring_sprint_alternate_layout
Nürburgring Veedol 2020,https://automobilista-2.fandom.com/wiki/Nurburgring_Veedol_2020
Ortona Kart One,https://automobilista-2.fandom.com/wiki/Ortona_1
Ortona Kart Two,https://automobilista-2.fandom.com/wiki/Ortona_2
Ortona Kart Three,https://automobilista-2.fandom.com/wiki/Ortona_3
